
#Vehículo

"Nombre del vehículo","Activo","Tipo de vehículo","Marca","Modelo","Matrícula","Año","Capacidad del deposito(gal)","Odómetro (km)","Registro de vehículos","Identificación (VIN)","Notas",
"Peugeot 5831LWK Antonio","Si","Camión","Peugeot","Boxer","5931LWK","2022","90.000","Kilómetro (km)","","","",

#Gasto

"Nombre del vehículo","Odómetro (km)","Fecha","Costo total","Tipo de gasto","Gasto local","Conductor","Método de pago","Motivo","Notas","(System Date)"
"Peugeot 5831LWK Antonio","0","14/04/2024 07:14","452.75","Financiación","","Victor Pavon","","","","11/02/2024 06:14"
"Peugeot 5831LWK Antonio","0","14/03/2024 07:13","452.75","Financiación","","Victor Pavon","","","","11/02/2024 06:13"
"Peugeot 5831LWK Antonio","0","14/02/2024 07:12","452.75","Financiación","","Victor Pavon","","","","11/02/2024 06:13"
"Peugeot 5831LWK Antonio","0","14/01/2024 07:13","452.75","Financiación","","Victor Pavon","","","","11/02/2024 06:14"
"Peugeot 5831LWK Antonio","0","14/12/2023 07:38","452.75","Financiación","","Victor Pavon","","","","06/12/2023 06:38"
"Peugeot 5831LWK Antonio","0","14/11/2023 07:38","452.75","Financiación","","Victor Pavon","","","","06/12/2023 06:38"
"Peugeot 5831LWK Antonio","0","14/10/2023 07:37","452.75","Financiación","","Victor Pavon","","","","06/12/2023 06:38"
"Peugeot 5831LWK Antonio","96000","14/09/2023 08:48","452.75","Financiación","","Victor Pavon","","","","21/09/2023 06:52"

#Servicio

"Nombre del vehículo","Odómetro (km)","Fecha","Costo total","Tipo de servicio","Local del servicio","Conductor","Método de pago","Notas","(System Date)"
"Peugeot 5831LWK Antonio","212217","23/09/2025 11:41","202","Neumaticos Traseros","","Victor Pavon","","","23/09/2025 09:42"
"Peugeot 5831LWK Antonio","203809","07/07/2025 20:38","40","Cambio de Aceite","","Victor Pavon","","","10/07/2025 18:39"
"Peugeot 5831LWK Antonio","203809","07/07/2025 20:38","15","Filtro de Aceite","","Victor Pavon","","","10/07/2025 18:39"
"Peugeot 5831LWK Antonio","200900","23/05/2025 20:33","35","Pastillas Traseras","Victor","Victor Pavon","","","24/05/2025 18:34"
"Peugeot 5831LWK Antonio","190385","31/03/2025 20:51","40","Cambio de Aceite","Victor","Victor Pavon","","","11/04/2025 12:52"
"Peugeot 5831LWK Antonio","190385","31/03/2025 20:51","15","Filtro de Aceite","Victor","Victor Pavon","","","11/04/2025 12:52"
"Peugeot 5831LWK Antonio","185789","12/03/2025 07:04","45","Pastillas Delanteras","Victor","Victor Pavon","","","19/03/2025 06:06"
"Peugeot 5831LWK Antonio","185789","12/03/2025 07:04","150","DISCOS DE FRENO DELANTEROS","Victor","Victor Pavon","","","19/03/2025 06:06"
"Peugeot 5831LWK Antonio","171158","20/12/2024 18:50","0","Cambio de Aceite","Hispasur","Victor Pavon","","","20/12/2024 17:51"
"Peugeot 5831LWK Antonio","171158","20/12/2024 18:50","0","Filtro de Aceite","Hispasur","Victor Pavon","","","20/12/2024 17:51"
"Peugeot 5831LWK Antonio","165808","26/11/2024 14:46","45","Pastillas Delanteras","","Victor Pavon","","","26/11/2024 13:47"
