
#Vehículo

"Nombre del vehículo","Activo","Tipo de vehículo","Marca","Modelo","Matrícula","Año","Capacidad del deposito(gal)","Odómetro (km)","Registro de vehículos","Identificación (VIN)","Notas",
"Peugeot 5958LWK","Si","Camión","Peugeot","Boxer","5958LWK","2022","","Kilómetro (km)","","","",

#Gasto

"Nombre del vehículo","Odómetro (km)","Fecha","Costo total","Tipo de gasto","Gasto local","Conductor","Método de pago","Motivo","Notas","(System Date)"
"Peugeot 5958LWK","0","14/04/2024 07:15","452.75","Financiación","","Victor Pavon","","","","11/02/2024 06:15"
"Peugeot 5958LWK","0","14/03/2024 07:15","452.75","Financiación","","Victor Pavon","","","","11/02/2024 06:15"
"Peugeot 5958LWK","0","14/02/2024 07:15","452.75","Financiación","","Victor Pavon","","","","11/02/2024 06:15"
"Peugeot 5958LWK","0","14/01/2024 07:14","452.75","Financiación","","Victor Pavon","","","","11/02/2024 06:14"
"Peugeot 5958LWK","0","14/12/2023 07:39","452.75","Financiación","","Victor Pavon","","","","06/12/2023 06:40"
"Peugeot 5958LWK","0","14/11/2023 07:39","452.75","Financiación","","Victor Pavon","","","","06/12/2023 06:39"
"Peugeot 5958LWK","0","14/10/2023 07:39","452.75","Financiación","","Victor Pavon","","","","06/12/2023 06:39"
"Peugeot 5958LWK","85000","14/09/2023 10:58","452.7","Financiación","","Victor Pavon","","","","27/09/2023 08:59"

#Servicio

"Nombre del vehículo","Odómetro (km)","Fecha","Costo total","Tipo de servicio","Local del servicio","Conductor","Método de pago","Notas","(System Date)"
"Peugeot 5958LWK","208850","28/05/2026 13:53","0","DISCOS DE FRENO DELANTEROS","","Victor Pavon","","","28/05/2026 11:53"
"Peugeot 5958LWK","208850","28/05/2026 13:52","32","Pastillas Delanteras","","Victor Pavon","","","28/05/2026 11:53"
"Peugeot 5958LWK","201831","03/02/2026 15:56","200","Neumaticos Traseros","","Victor Pavon","","","04/02/2026 14:57"
"Peugeot 5958LWK","190849","17/11/2025 22:11","35","Pastillas Delanteras","","Victor Pavon","","Proximo cambio discos","17/11/2025 21:12"
"Peugeot 5958LWK","188782","31/10/2025 19:37","0","Caja Cambios","","Victor Pavon","","","31/10/2025 18:38"
"Peugeot 5958LWK","188782","31/10/2025 19:37","0","Cambio de Aceite","","Victor Pavon","","","31/10/2025 18:38"
"Peugeot 5958LWK","188782","31/10/2025 19:37","0","Filtro de Aceite","","Victor Pavon","","","31/10/2025 18:38"
"Peugeot 5958LWK","178385","29/08/2025 14:32","45","Cambio de Aceite","","Victor Pavon","","","29/08/2025 12:33"
"Peugeot 5958LWK","178385","29/08/2025 14:32","15","Enfriador filtro aceite","","Victor Pavon","","","29/08/2025 12:33"
"Peugeot 5958LWK","174000","10/06/2025 08:49","110","Neumaticos Traseros","Felipe Osuna","Victor Pavon","","","11/06/2025 06:50"
"Peugeot 5958LWK","168368","26/05/2025 20:08","50","Pastillas Delanteras","","Victor Pavon","","","26/05/2025 18:09"
"Peugeot 5958LWK","158683","11/04/2025 14:49","35","Pastillas Traseras","Victor","Victor Pavon","","","11/04/2025 12:49"
"Peugeot 5958LWK","150989","11/03/2025 10:49","163.35","Cambio de Aceite","Hispasur","Victor Pavon","","","31/03/2025 08:50"
"Peugeot 5958LWK","150989","11/03/2025 10:49","0","Filtro de Aceite","Hispasur","Victor Pavon","","","31/03/2025 08:50"
