
#Vehículo

"Nombre del vehículo","Activo","Tipo de vehículo","Marca","Modelo","Matrícula","Año","Capacidad del deposito(gal)","Odómetro (km)","Registro de vehículos","Identificación (VIN)","Notas",
"Fiat 9688 LLV Pedro","Si","Camión","Fiat","Ducato","9688LLV","2020","","Kilómetro (km)","","","",

#Gasto

"Nombre del vehículo","Odómetro (km)","Fecha","Costo total","Tipo de gasto","Gasto local","Conductor","Método de pago","Motivo","Notas","(System Date)"
"Fiat 9688 LLV Pedro","0","26/04/2024 07:07","496.93","Financiación","","Victor Pavon","","","","11/02/2024 06:08"
"Fiat 9688 LLV Pedro","0","26/03/2024 07:07","496.93","Financiación","","Victor Pavon","","","","11/02/2024 06:07"
"Fiat 9688 LLV Pedro","0","26/02/2024 07:06","496.93","Financiación","","Victor Pavon","","","","11/02/2024 06:07"
"Fiat 9688 LLV Pedro","0","26/01/2024 07:05","496.93","Financiación","","Victor Pavon","","","","11/02/2024 06:06"
"Fiat 9688 LLV Pedro","0","26/12/2023 07:25","496.93","Financiación","","Victor Pavon","","","","06/12/2023 06:25"
"Fiat 9688 LLV Pedro","0","26/11/2023 07:24","496.93","Financiación","","Victor Pavon","","","","06/12/2023 06:24"
"Fiat 9688 LLV Pedro","0","26/10/2023 07:23","496.93","Financiación","","Victor Pavon","","","","06/12/2023 06:24"
"Fiat 9688 LLV Pedro","210500","26/09/2023 09:57","496.93","Financiación","","Victor Pavon","","","","26/09/2023 07:59"

#Servicio

"Nombre del vehículo","Odómetro (km)","Fecha","Costo total","Tipo de servicio","Local del servicio","Conductor","Método de pago","Notas","(System Date)"
"Fiat 9688 LLV Pedro","3600965","21/04/2026 19:12","20","Pastillas Delanteras","","Victor Pavon","","Liquido tapajuntas radiador
Fuelle palier izquierdo 
Bombim pedal embrague","21/04/2026 17:17"
"Fiat 9688 LLV Pedro","3600965","21/04/2026 19:12","20","Pastillas Traseras","","Victor Pavon","","Liquido tapajuntas radiador
Fuelle palier izquierdo 
Bombim pedal embrague","21/04/2026 17:17"
"Fiat 9688 LLV Pedro","3600965","21/04/2026 19:12","15","Filtro de Aire","","Victor Pavon","","Liquido tapajuntas radiador
Fuelle palier izquierdo 
Bombim pedal embrague","21/04/2026 17:17"
"Fiat 9688 LLV Pedro","3600965","21/04/2026 19:12","42","Cambio de Aceite","","Victor Pavon","","Liquido tapajuntas radiador
Fuelle palier izquierdo 
Bombim pedal embrague","21/04/2026 17:17"
"Fiat 9688 LLV Pedro","3600965","21/04/2026 19:12","15","Filtro de Aceite","","Victor Pavon","","Liquido tapajuntas radiador
Fuelle palier izquierdo 
Bombim pedal embrague","21/04/2026 17:17"
"Fiat 9688 LLV Pedro","3600965","21/04/2026 19:12","20","Filtro de Combustible","","Victor Pavon","","Liquido tapajuntas radiador
Fuelle palier izquierdo 
Bombim pedal embrague","21/04/2026 17:17"
"Fiat 9688 LLV Pedro","3600965","21/04/2026 19:12","15","Fuelle palier","","Victor Pavon","","Liquido tapajuntas radiador
Fuelle palier izquierdo 
Bombim pedal embrague","21/04/2026 17:17"
"Fiat 9688 LLV Pedro","3600965","21/04/2026 19:12","80","Soporte Motor","","Victor Pavon","","Liquido tapajuntas radiador
Fuelle palier izquierdo 
Bombim pedal embrague","21/04/2026 17:17"
"Fiat 9688 LLV Pedro","345287","22/01/2026 13:05","30","Pastillas Delanteras","","Victor Pavon","","","22/01/2026 12:05"
"Fiat 9688 LLV Pedro","345287","22/01/2026 13:05","30","Pastillas Traseras","","Victor Pavon","","","22/01/2026 12:05"
