NOMBRE;DESCRIPCION;PRECIO;UNIDAD
6;DOCUMENTACI‡N;7;B1
206;TV 43;11;VIDE
207;TV50;13;VIDE
208;TV55;13;VIDE
209;TV60;16;VIDE
210;TV65;16;VIDE
1;BLT_1;7;B1
2;BLT_2;12;B1
3;BLT_3;16;B1
4;BLT_4;21;B1
5;REEMBOLSO;3;RB
6;BLT_1_B2;9;B2
7;BLT_2_B2;16;B2
8;BLT_3_B2;20;B2
9;BLT_4_B2;22;B2
10;AIRE_ACONDICIONADO;11;ELE
11;AIRE_MEDIANO;16;ELE
12;AIRE_CONDUCTOS;28;ELE
13;AMERICANO;27;ELE
16;CAMPANA;4,8;ELE
17;CAMPANA_GRANDE;9;ELE
18;CENTRO_PLANCHADO;5;ELE
19;COCINA;12;ELE
20;COMBI;16;ELE
21;CONGELADOR;16;ELE
22;CONJUNTO_BEKO;13;ELE
23;ENCIMERA;5;ELE
24;FREGADERO;5;ELE
25;FRIGOR÷FICO;19;ELE
26;GRIFO;5;ELE
27;HORNO;12;ELE
28;LAVADORA;16;ELE
29;LAVAVAJILLAS;15;ELE
30;MICROONDAS;5;ELE
31;PLACA;5;ELE
32;PLACA_GRANDE;9;ELE
34;SECADORA;14;ELE
36;TERMO;10;ELE
37;TV;10;ELE
39;VINOTECA;12;ELE
40;VITRO;5;ELE
41;BLT_5;18;BADI
42;BLT_6;20;BADI
43;BLT_7;21,5;BADI
44;BLT_8;23;BADI
45;BLT_9;24,5;BADI
46;BLT_10;26;BADI
47;BLT_11;29;BADI
48;BLT_12;31,2;BADI
49;BLT_13;33,8;BADI
50;BLT_14;35;BADI
51;BLT_15;37,5;BADI
52;BLT_16;40;BADI
53;BLT_17;42,5;BADI
54;BLT_18;45;BADI
55;BLT_19;48;BADI
56;BLT_20;50;BADI
57;BLT_5_B2;21,5;BADI
58;BLT_6_B2;24;BADI
59;BLT_7_B2;26;BADI
60;BLT_8_B2;28;BADI
61;BLT_9_B2;30;BADI
62;BLT_10_B2;32;BADI
63;BLT_11_B2;35,2;BADI
64;BLT_12_B2;38;BADI
65;BLT_13_B2;39;BADI
66;BLT_14_B2;42;BADI
67;BLT_15_B2;45;BADI
68;BLT_16_B2;48;BADI
69;BLT_17_B2;51;BADI
70;BLT_18_B2;54;BADI
71;BLT_19_B2;57;BADI
72;BLT_20_B2;60;BADI
73;CAJACµMARAS;6;NEU
74;CAPO;14;NEU
75;INDUSTRIAL;20;NEU
76;LLANTAS;4;NEU
77;LUNA;20;NEU
78;LUNA GRANDE;25;NEU
79;MACIZAS;4;NEU
80;MOTO;22;NEU
81;MULAMECANICA;15;NEU
82;PALACHICA;15;NEU
83;PARAGOLPES;13;NEU
84;PUERTA;13;NEU
85;REMOLQUE;4;NEU
86;RUEDACAMI‡N;8;NEU
87;RUEDACARRETILLA;5;NEU
88;RUEDAFURG‡N;3;NEU
89;RUEDAINDUSTRIAL;20;NEU
90;RUEDAMOTO;3;NEU
91;RUEDATRAC.GRANDE;15;NEU
92;RUEDATRAC.PEQUE•A;10;NEU
93;RUEDATURISMO;2,2;NEU
94;RUEDA4*4;3;NEU
95;hasta5KGB3;10,57;B3
96;hasta10KGB3;11,46;B3
97;hasta15KGB3;12,61;B3
98;hasta20KGB3;15,92;B3
99;hasta25KGB3;18,23;B3
100;hasta30KGB3;20,71;B3
